,datetime,open,high,low,close,volume,ema1,ema2,signal
64,2022-07-21 20:00:00,29.507,29.775,29.173,29.48,2848569.2828,29.0270172793766,28.942633626717036,1
65,2022-07-22 00:00:00,29.48,29.767,29.134,29.247,1748997.9805,29.100344852917736,28.997972967313938,0
66,2022-07-22 04:00:00,29.247,29.8,29.117,29.6,2044483.8401,29.266896568611827,29.107432427802312,0
67,2022-07-22 08:00:00,29.6,30.511,29.526,30.387,4835495.8022,29.64026437907455,29.340081077292798,0
68,2022-07-22 12:00:00,30.387,30.541,29.594,29.701,11547543.4077,29.660509586049702,29.405702699603196,0
69,2022-07-22 16:00:00,29.701,29.756,28.923,28.996,8035793.7886,29.439006390699802,29.33121129967534,0
70,2022-07-22 20:00:00,28.996,29.1,28.633,28.91,3233398.1494,29.262670927133204,29.254627427007094,0
71,2022-07-23 00:00:00,28.91,29.471,28.714,29.312,3692371.87,29.27911395142214,29.265058803914894,0
72,2022-07-23 04:00:00,29.312,29.734,29.225,29.401,2731830.0998,29.319742634281425,29.289775385021272,0
73,2022-07-23 08:00:00,29.401,29.58,28.042,28.042,8183171.6266,28.893828422854284,29.06290713319922,2
74,2022-07-23 12:00:00,28.042,28.377,27.872,28.23,3421599.0445,28.67255228190286,28.911469472617544,0
75,2022-07-23 16:00:00,28.23,28.338,27.749,28.204,3136767.3516,28.516368187935242,28.782838659414352,0
76,2022-07-23 20:00:00,28.204,28.642,28.164,28.511,1895705.0737,28.51457879195683,28.733413448611742,0
77,2022-07-24 00:00:00,28.511,28.806,28.352,28.404,1802847.5514,28.47771919463789,28.673520094318697,0
78,2022-07-24 04:00:00,28.404,29.485,28.34,29.149,5815218.4053,28.70147946309193,28.75997098626075,0
79,2022-07-24 08:00:00,29.149,29.522,28.946,29.258,2939145.356,28.886986308727955,28.85052171603152,1
80,2022-07-24 12:00:00,29.258,29.512,28.829,29.388,3314172.6914,29.053990872485304,28.948245040389423,0
81,2022-07-24 16:00:00,29.388,29.43,28.958,29.084,2946067.6817,29.063993914990206,28.97292776031862,0
82,2022-07-24 20:00:00,29.084,29.767,29.007,29.114,4088278.0639,29.080662609993475,28.998577258442502,0
83,2022-07-25 00:00:00,29.114,29.278,27.91,28.017,3996191.633,28.726108406662316,28.82010866599841,2
84,2022-07-25 04:00:00,28.017,28.199,27.82,28.064,1953814.469,28.505405604441545,28.682634363089605,0
85,2022-07-25 08:00:00,28.064,28.387,27.987,28.177,1170477.8269,28.3959370696277,28.590700842527855,0
86,2022-07-25 12:00:00,28.177,28.246,27.76,28.067,2493184.715,28.286291379751802,28.49548250752279,0
87,2022-07-25 16:00:00,28.067,28.32,27.178,27.617,5497389.2478,28.063194253167868,28.33575841524592,0
88,2022-07-25 20:00:00,27.617,27.963,26.945,27.021,7982596.7668,27.71579616877858,28.096711430655752,0
89,2022-07-26 00:00:00,27.021,27.094,26.444,26.842,7973392.6132,27.424530779185723,27.868582079627434,0
90,2022-07-26 04:00:00,26.842,26.992,26.546,26.592,1947314.8814,27.14702051945715,27.6364762469679,0
91,2022-07-26 08:00:00,26.592,26.762,26.433,26.604,1791618.8499,26.966013679638102,27.448753292973734,0
92,2022-07-26 12:00:00,26.604,26.795,26.038,26.073,3333044.8018,26.66834245309207,27.198616330614872,0
93,2022-07-26 16:00:00,26.073,26.464,25.945,26.133,1743873.377,26.48989496872805,27.004867906866714,0
94,2022-07-26 20:00:00,26.133,27.121,26.002,27.069,3280766.4453,26.682929979152036,27.0165282874364,0
95,2022-07-27 00:00:00,27.069,27.121,26.692,26.718,2077829.9038,26.694619986101358,26.962250416993417,0
96,2022-07-27 04:00:00,26.718,27.477,26.698,27.04,3917757.5782,26.809746657400908,26.976386704812796,0
97,2022-07-27 08:00:00,27.04,27.17,26.874,26.943,1344002.9291,26.854164438267276,26.970316394846833,0
98,2022-07-27 12:00:00,26.943,27.62,26.88,27.466,3848638.6235,27.05810962551152,27.06044068669286,0
99,2022-07-27 16:00:00,27.466,27.887,27.379,27.851,2861614.8148,27.32240641700768,27.204178743657792,1
